issue,num_opinions,cluster,is_centroid
Should parents be allowed to opt out of sex education for their children?,5,3,False
Should the UK and France share the Channel Tunnel?,3,4,False
Should we reintroduce wolves into the Scottish Highlands?,4,4,False
"Is it okay to use genetic engineering to give babies genetic enhancements, such as improved intelligence, strength and beauty?",1,0,False
Should the government require internet companies to censor what people can see?,5,0,False
Is it better to give everyone a basic income or would it be better to give everyone a certain amount of money to invest in their own education?,4,1,False
Should the government use more public money to help reduce childhood obesity?,5,1,False
Should there be a free university education?,1,3,False
Is it a good idea to give everyone free broadband?,4,1,False
Is the government doing enough to address the growing inequality gap?,5,1,False
Should the government spend more on science and technology research?,5,1,False
Should Britain remove the statue of Winston Churchill from Parliament Square?,5,4,False
Do we have enough houses for the people who live in the UK?,4,4,False
Should students be required to pass a literacy and numeracy test before graduating from primary school?,5,3,False
Should we have compulsory voting in national elections?,1,3,False
Should the UK continue to license radio frequency spectrum for use by the general public?,5,4,False
Should we increase the tax on petrol and diesel?,1,1,False
Should Scotland become independent from the rest of the UK?,1,4,False
Should we require all companies with over 100 employees to publish data on their pay gap between women and men?,4,1,False
Is it important to preserve old buildings and historical places?,5,1,False
Should the UK government subsidize local football clubs?,5,4,False
should the legal working week be reduced for parents?,4,3,False
Should we be allowed to donate organs from the dead to save lives?,5,0,False
Is it okay for the police to use facial recognition systems?,1,0,False
Should we raise the age at which people can drink alcohol to 25?,4,3,False
Do we need to increase the number of teachers in the education system?,5,3,False
Are electric cars really the best alternative to petrol-powered cars?,5,1,False
Should we stop producing nuclear power?,5,2,False
Is it ethical to use animals for scientific research?,5,0,False
Should we raise the top rate of income tax to 55%?,4,1,False
Should there be more or less government funding for primary schools?,5,3,False
Should parents be required to attend parenting classes in order to qualify for a child allowance?,5,3,False
Is a nuclear weapons ban possible?,5,2,False
Should we prohibit all advertising that promotes unhealthy eating?,5,2,False
Should the government allow local authorities to ban the use of diesel cars?,5,2,False
Should students be allowed to have cellphones in class?,5,3,False
Should the UK military be allowed to go on missions abroad to enforce peace and humanitarian aid?,5,4,False
Is the UK too reliant on foreign oil?,5,4,False
Should we send more aid to Africa?,4,1,False
Should the government be allowed to force landlords to lower rent?,5,1,False
Is it okay for a company to sell a facial recognition system to a country where they will be used to track political dissidents?,5,0,False
Is it ever morally acceptable to lie to your children?,5,0,False
Should the UK reduce immigration?,1,4,False
Should the UK withdraw from the World Trade Organisation?,4,4,False
Should we ban smoking?,5,2,False
Should cannabis be legalised?,5,2,False
Is it wrong to send your child to a private school?,4,3,False
Should we introduce a basic income?,5,1,False
Is the NHS doing enough to improve the health of the average person?,5,4,False
Do the rich in the UK have an obligation to help the poor in the UK?,5,4,False
