method,seed,method_with_params,param_n,min_rank,max_rank,avg_rank,rank_Agent 1,rank_Agent 2,rank_Agent 3,rank_Agent 4,is_maximin_best,is_utilitarian_best,param_num_candidates,param_num_rounds
best_of_n,44,best_of_n (n=1.0),1.0,1,8,4.25,1,2,8,6,1,1,,
best_of_n,44,best_of_n (n=3.0),3.0,3,9,6.25,4,3,9,9,0,0,,
habermas_machine,44,"habermas_machine (num_candidates=1.0, num_rounds=1.0)",,5,12,9.25,12,8,12,5,0,0,1.0,1.0
best_of_n,44,best_of_n (n=5.0),5.0,2,10,5.75,2,4,10,7,0,0,,
best_of_n,44,best_of_n (n=10.0),10.0,3,11,6.75,3,5,11,8,0,0,,
habermas_machine,44,"habermas_machine (num_candidates=3.0, num_rounds=1.0)",,1,12,6.0,9,12,2,1,0,0,3.0,1.0
habermas_machine,44,"habermas_machine (num_candidates=5.0, num_rounds=1.0)",,4,10,7.5,10,9,7,4,0,0,5.0,1.0
best_of_n,44,best_of_n (n=20.0),20.0,5,10,6.5,5,6,5,10,0,0,,
habermas_machine,44,"habermas_machine (num_candidates=10.0, num_rounds=1.0)",,1,12,6.5,7,1,6,12,0,0,10.0,1.0
habermas_machine,44,"habermas_machine (num_candidates=20.0, num_rounds=1.0)",,2,11,6.0,8,11,3,2,0,0,20.0,1.0
habermas_machine,44,"habermas_machine (num_candidates=50.0, num_rounds=1.0)",,1,11,6.25,11,10,1,3,0,0,50.0,1.0
best_of_n,44,best_of_n (n=50.0),50.0,4,11,7.0,6,7,4,11,0,0,,
