method_with_params,method,param_n,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_perplexity_Agent 1_mean,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_perplexity_Agent 1_std,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_perplexity_Agent 2_mean,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_perplexity_Agent 2_std,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_perplexity_Agent 3_mean,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_perplexity_Agent 3_std,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_perplexity_Agent 4_mean,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_perplexity_Agent 4_std,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_perplexity_Agent 5_mean,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_perplexity_Agent 5_std,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_egalitarian_welfare_perplexity_mean,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_egalitarian_welfare_perplexity_std,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_utilitarian_welfare_perplexity_mean,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_utilitarian_welfare_perplexity_std,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_cosine_similarity_Agent 1_mean,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_cosine_similarity_Agent 1_std,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_cosine_similarity_Agent 2_mean,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_cosine_similarity_Agent 2_std,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_cosine_similarity_Agent 3_mean,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_cosine_similarity_Agent 3_std,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_cosine_similarity_Agent 4_mean,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_cosine_similarity_Agent 4_std,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_cosine_similarity_Agent 5_mean,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_cosine_similarity_Agent 5_std,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_egalitarian_welfare_cosine_mean,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_egalitarian_welfare_cosine_std,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_utilitarian_welfare_cosine_mean,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo_utilitarian_welfare_cosine_std,google_gemma-2-9b-it_perplexity_Agent 1_mean,google_gemma-2-9b-it_perplexity_Agent 1_std,google_gemma-2-9b-it_perplexity_Agent 2_mean,google_gemma-2-9b-it_perplexity_Agent 2_std,google_gemma-2-9b-it_perplexity_Agent 3_mean,google_gemma-2-9b-it_perplexity_Agent 3_std,google_gemma-2-9b-it_perplexity_Agent 4_mean,google_gemma-2-9b-it_perplexity_Agent 4_std,google_gemma-2-9b-it_perplexity_Agent 5_mean,google_gemma-2-9b-it_perplexity_Agent 5_std,google_gemma-2-9b-it_egalitarian_welfare_perplexity_mean,google_gemma-2-9b-it_egalitarian_welfare_perplexity_std,google_gemma-2-9b-it_utilitarian_welfare_perplexity_mean,google_gemma-2-9b-it_utilitarian_welfare_perplexity_std,google_gemma-2-9b-it_cosine_similarity_Agent 1_mean,google_gemma-2-9b-it_cosine_similarity_Agent 1_std,google_gemma-2-9b-it_cosine_similarity_Agent 2_mean,google_gemma-2-9b-it_cosine_similarity_Agent 2_std,google_gemma-2-9b-it_cosine_similarity_Agent 3_mean,google_gemma-2-9b-it_cosine_similarity_Agent 3_std,google_gemma-2-9b-it_cosine_similarity_Agent 4_mean,google_gemma-2-9b-it_cosine_similarity_Agent 4_std,google_gemma-2-9b-it_cosine_similarity_Agent 5_mean,google_gemma-2-9b-it_cosine_similarity_Agent 5_std,google_gemma-2-9b-it_egalitarian_welfare_cosine_mean,google_gemma-2-9b-it_egalitarian_welfare_cosine_std,google_gemma-2-9b-it_utilitarian_welfare_cosine_mean,google_gemma-2-9b-it_utilitarian_welfare_cosine_std,min_rank_mean,min_rank_std,max_rank_mean,max_rank_std,avg_rank_mean,avg_rank_std,rank_Agent 1_mean,rank_Agent 1_std,rank_Agent 2_mean,rank_Agent 2_std,rank_Agent 3_mean,rank_Agent 3_std,rank_Agent 4_mean,rank_Agent 4_std,rank_Agent 5_mean,rank_Agent 5_std,param_num_candidates,param_num_rounds
best_of_n (n=1.0),best_of_n,1.0,13.73675368495576,5.364460482647128,6.704615924858803,1.4179938933309952,16.345059270742855,7.936305549014623,13.176260354447209,5.171942179698734,12.92733040013079,7.348059099552211,17.036857814272878,7.403561884715905,62.890019635135424,25.82354401662646,0.7557693413760728,0.02299870236318112,0.8074671841528552,0.05025763887908628,0.8263673374460434,0.024481107558192015,0.7571215345960618,0.04701035227157841,0.6810408087943293,0.02545388309942702,0.6810408087943293,0.02545388309942702,3.8277662063653626,0.13803917489830678,23.696328838691954,13.52147171639269,8.873669954112982,4.679142500663777,37.33141796744203,24.597965641233127,22.54955514340938,14.935238808713478,31.127347162415024,24.586467695043513,37.33141796744203,24.597965641233127,123.57831906607139,76.70944434928877,0.7557693413760728,0.02299870236318112,0.8074671841528552,0.05025763887908628,0.8263673374460434,0.024481107558192015,0.7571215345960618,0.04701035227157841,0.6810408087943293,0.02545388309942702,0.6810408087943293,0.02545388309942702,3.8277662063653626,0.13803917489830678,2.3333333333333335,1.247219128924647,9.333333333333334,2.494438257849294,5.466666666666666,0.8379870059984357,7.0,2.160246899469287,6.0,4.320493798938574,3.0,1.632993161855452,8.333333333333334,1.699673171197595,3.0,1.632993161855452,,
best_of_n (n=10.0),best_of_n,10.0,7.365379551103,1.4004599144785232,5.737159355110123,0.17659889980965357,8.466614330302214,0.6660344957490658,7.7132312266921454,0.1812861123802132,7.7373019853265035,0.2806482718919757,8.527318605532244,0.6192835088365574,37.01968644853399,2.1848111947455138,0.8039480790365934,0.011254279150545016,0.8202810784194519,0.007512501952041755,0.8638703314357737,0.004744789258949662,0.8039520478215155,0.005883692444312064,0.6880306737658461,0.010146128226589321,0.6880306737658461,0.010146128226589321,3.98008221047918,0.012749002239730129,7.873706209422623,2.3193774778329694,5.031948252943153,1.049186822681257,9.672941175934254,1.44743180443155,6.810320206799285,0.0604444008848797,9.902920179333368,1.3546951893383292,9.902920179333368,1.3546951893383292,39.29183602443268,6.1102468933992276,0.8039480790365934,0.011254279150545016,0.8202810784194519,0.007512501952041755,0.8638703314357737,0.004744789258949662,0.8039520478215155,0.005883692444312064,0.6880306737658461,0.010146128226589321,0.6880306737658461,0.010146128226589321,3.98008221047918,0.012749002239730129,1.3333333333333333,0.4714045207910317,8.333333333333334,2.357022603955158,4.466666666666666,0.4988876515698589,2.0,1.4142135623730951,2.3333333333333335,0.9428090415820634,8.333333333333334,2.357022603955158,2.3333333333333335,0.4714045207910317,7.333333333333333,1.699673171197595,,
best_of_n (n=20.0),best_of_n,20.0,7.625160724455578,1.4411062405693325,5.486940023325009,0.9686148561159863,9.04938672826759,1.2258803207437066,7.547886563993129,0.9630433610459844,7.602775204533074,0.8487068358375676,9.117699565906051,1.1802147488098576,37.31214924457438,4.789218527862618,0.7731677806011467,0.025244860908265755,0.8241110846295783,0.01119858076609105,0.8226399622253501,0.021923395038321872,0.8090100882947606,0.002339915112380562,0.6897286720147374,0.01741437628817697,0.6897286720147374,0.01741437628817697,3.9186575877655727,0.05092469048262532,5.1253136026739226,0.7678120316569498,3.715900387197015,0.22119532675369358,9.973473133314803,1.1669026388866057,6.324621215365279,0.8132707022709507,8.526620150212963,1.1687426888079842,9.973473133314803,1.1669026388866057,33.66592848876398,2.2922128887577853,0.7731677806011467,0.025244860908265755,0.8241110846295783,0.01119858076609105,0.8226399622253501,0.021923395038321872,0.8090100882947606,0.002339915112380562,0.6897286720147374,0.01741437628817697,0.6897286720147374,0.01741437628817697,3.9186575877655727,0.05092469048262532,1.6666666666666667,0.4714045207910317,8.0,2.160246899469287,5.0,0.3265986323710907,3.3333333333333335,1.247219128924647,5.0,0.816496580927726,8.0,2.160246899469287,2.0,0.816496580927726,6.666666666666667,0.4714045207910317,,
best_of_n (n=3.0),best_of_n,3.0,10.435622486016236,2.4077956801453477,6.487029259677826,1.5587650620512614,13.462116245312709,4.215841384636716,10.842831789554687,3.0100875788421697,10.84693323264032,3.371041392526035,13.462116245312709,4.215841384636716,52.07453301320178,14.210745602598234,0.7719692866791702,0.025873667128556287,0.8094413314469073,0.019193424240349113,0.8270992080207904,0.02844409339968002,0.7798106628956738,0.029356890904110557,0.6565463390830447,0.029074646775633504,0.6565463390830447,0.029074646775633504,3.844866828125586,0.11936813649616397,11.353028152746965,2.285273320631523,6.113059923893819,1.3663442186833576,16.839061413640064,4.375160015352665,11.340308618590328,2.7960504177607786,14.476832096163056,3.707535347775919,16.839061413640064,4.375160015352665,60.12229020503423,13.759645252072165,0.7719692866791702,0.025873667128556287,0.8094413314469073,0.019193424240349113,0.8270992080207904,0.02844409339968002,0.7798106628956738,0.029356890904110557,0.6565463390830447,0.029074646775633504,0.6565463390830447,0.029074646775633504,3.844866828125586,0.11936813649616397,3.6666666666666665,1.247219128924647,9.333333333333334,1.8856180831641267,5.733333333333334,1.586050300449376,5.0,2.160246899469287,6.666666666666667,4.109609335312651,5.666666666666667,1.699673171197595,7.666666666666667,2.8674417556808756,3.6666666666666665,1.247219128924647,,
best_of_n (n=5.0),best_of_n,5.0,6.458512948518411,1.7896527724879088,4.848604936468949,0.9843799992620882,6.9837691142605784,1.7355853028956854,5.581467689700084,1.3216390793998534,6.0218108384077516,1.0379543227629948,6.9837691142605784,1.7355853028956854,29.89416552735577,6.864868972391019,0.8039795101930715,0.002054138831282195,0.8149122444441059,0.00679486149479766,0.8518880924378642,0.009109442686177478,0.8029014451332821,0.012095786988541178,0.7015466744086417,0.0036316627724001876,0.7015466744086417,0.0036316627724001876,3.975227966616966,0.026422567228398267,6.649047797738454,3.3341218940216715,4.594267535179697,1.4141106877663414,10.598958335687946,3.011458033145514,6.65939178890446,1.3525397351562003,9.204213727811178,1.5305649974765656,10.598958335687946,3.011458033145514,37.705879185321734,10.642795347566295,0.8039795101930715,0.002054138831282195,0.8149122444441059,0.00679486149479766,0.8518880924378642,0.009109442686177478,0.8029014451332821,0.012095786988541178,0.7015466744086417,0.0036316627724001876,0.7015466744086417,0.0036316627724001876,3.975227966616966,0.026422567228398267,3.3333333333333335,2.0548046676563256,8.333333333333334,1.699673171197595,5.533333333333334,1.7613126418163876,3.3333333333333335,2.0548046676563256,5.0,2.160246899469287,8.0,1.4142135623730951,5.0,1.632993161855452,6.333333333333333,2.8674417556808756,,
best_of_n (n=50.0),best_of_n,50.0,7.62848302149015,1.1691805129579533,5.632497158422928,0.43035442834431903,8.993178037745716,0.8345806277110487,7.956996534350733,0.33426811601127754,7.837781762224978,0.5926861779029056,8.993178037745716,0.8345806277110487,38.048936514234505,3.0749233896348267,0.7889663436608569,0.029375888091469352,0.8173932478467064,0.008229325221940007,0.8441559183083834,0.023398431652670266,0.8068488209700418,0.005161193681830823,0.6908721841969698,0.01762256157069909,0.6908721841969698,0.01762256157069909,3.9482365149829586,0.057102747235108005,5.849067014061563,0.3140005671424565,4.0251490574494175,0.18831837763458162,9.64028448038478,1.3392163087692721,6.6733556938495076,0.7312355892197449,8.690469607361443,1.181387951087832,9.738802377983388,1.2718814699680565,34.87832585310671,1.7276829272283505,0.7889663436608569,0.029375888091469352,0.8173932478467064,0.008229325221940007,0.8441559183083834,0.023398431652670266,0.8068488209700418,0.005161193681830823,0.6908721841969698,0.01762256157069909,0.6908721841969698,0.01762256157069909,3.9482365149829586,0.057102747235108005,2.0,0.816496580927726,10.0,2.160246899469287,5.8,0.7118052168020876,3.0,0.816496580927726,5.333333333333333,0.4714045207910317,10.0,2.160246899469287,3.0,1.4142135623730951,7.666666666666667,0.4714045207910317,,
"habermas_machine (num_candidates=1.0, num_rounds=1.0)",habermas_machine,,5.130316324673662,1.1704127307490282,4.778245512745042,0.988605668919347,7.1313497906499,0.657135046723704,5.892080246024704,0.45032015631285116,6.448293507643828,1.1255061457214737,7.1313497906499,0.657135046723704,29.380285381737135,4.0376487002007675,0.7227810638007485,0.03272415169925772,0.7235768521663064,0.0073527746074143535,0.7996293396821335,0.016000610006208234,0.6954377213034397,0.014721814353062237,0.6347351639154558,0.01354270686341803,0.6347351639154558,0.01354270686341803,3.5761601408680845,0.0724617258413356,3.5265508487443094,0.7373481643906179,2.8375901001816612,0.7227163914133569,8.931000464836146,1.4928298352418297,3.7687428044006075,0.8747285024452505,10.581920412020805,2.20681189414096,10.581920412020805,2.20681189414096,29.645804630183534,4.665362447133022,0.7227810638007485,0.03272415169925772,0.7235768521663064,0.0073527746074143535,0.7996293396821335,0.016000610006208234,0.6954377213034397,0.014721814353062237,0.6347351639154558,0.01354270686341803,0.6347351639154558,0.01354270686341803,3.5761601408680845,0.0724617258413356,5.666666666666667,1.699673171197595,11.0,0.816496580927726,8.666666666666666,1.1115554667022043,9.0,0.816496580927726,10.0,1.632993161855452,8.0,2.943920288775949,8.0,2.449489742783178,8.333333333333334,3.2998316455372216,1.0,1.0
"habermas_machine (num_candidates=10.0, num_rounds=1.0)",habermas_machine,,9.682837487913169,4.01343974784948,8.03781580993109,2.0092842621868954,11.66619302662185,2.846611648207917,8.23839102074223,1.7019819249106567,10.088972616886844,1.9417460741402743,12.025246794231643,2.7927454158064227,47.714209962095175,11.832287409573096,0.739732143912415,0.022125640743770145,0.7767881149128909,0.03262540757319891,0.8011879329077103,0.023304812231336562,0.7532517251674077,0.034257802835115835,0.6387787525329095,0.03750173149648706,0.6387787525329095,0.03750173149648706,3.709738669433334,0.12808292168058494,9.256221311536898,3.9428183828473604,7.435748232882212,1.245928905849925,13.788118827534324,5.567759502358298,7.416898585711089,0.6077033470570314,14.886976539849805,5.7160690975471145,15.754771214166547,6.217980919679614,52.78396349751433,16.16583463421831,0.739732143912415,0.022125640743770145,0.7767881149128909,0.03262540757319891,0.8011879329077103,0.023304812231336562,0.7532517251674077,0.034257802835115835,0.6387787525329095,0.03750173149648706,0.6387787525329095,0.03750173149648706,3.709738669433334,0.12808292168058494,3.3333333333333335,1.8856180831641267,8.666666666666666,1.8856180831641267,6.333333333333333,1.2684198393626966,7.0,2.449489742783178,5.666666666666667,2.6246692913372702,5.333333333333333,2.494438257849294,7.0,2.160246899469287,6.666666666666667,2.494438257849294,10.0,1.0
"habermas_machine (num_candidates=20.0, num_rounds=1.0)",habermas_machine,,14.553031406205092,3.532218093176739,13.007284048122424,1.8438458887258231,15.880590678260225,3.2261577694282932,15.318779447451831,3.7229124829910427,14.91580367960369,2.48112167487999,16.04435460673097,3.2249689501493295,73.67548925964327,14.2000269900259,0.724687828974488,0.04775757383693204,0.7428667369064992,0.046840544747008134,0.7800684342682725,0.02410626559001734,0.7153425857743797,0.04566720035907253,0.6445186692711923,0.03638938415117039,0.6445186692711923,0.03638938415117039,3.6074842551948314,0.195781084481822,15.771096981157092,8.129292492571366,12.62880278969518,4.828058728681732,20.650909253033774,7.487278233206308,17.11769607231054,5.156561498162544,32.3843744486778,23.664234044507104,34.029842444348105,22.139000837013317,98.55287954487437,48.39174708434147,0.724687828974488,0.04775757383693204,0.7428667369064992,0.046840544747008134,0.7800684342682725,0.02410626559001734,0.7153425857743797,0.04566720035907253,0.6445186692711923,0.03638938415117039,0.6445186692711923,0.03638938415117039,3.6074842551948314,0.195781084481822,3.6666666666666665,2.494438257849294,12.0,0.0,8.200000000000001,0.9092121131323905,10.333333333333334,1.699673171197595,10.333333333333334,0.4714045207910317,4.666666666666667,3.8586123009300755,10.333333333333334,2.357022603955158,5.333333333333333,4.784233364802441,20.0,1.0
"habermas_machine (num_candidates=3.0, num_rounds=1.0)",habermas_machine,,12.548681323307477,5.058347895682823,10.535388522439911,4.532902437597057,14.92435248181439,4.470236773788628,12.130696660048924,3.0732982418137986,14.085590649405907,4.087064867480929,14.92435248181439,4.470236773788628,64.2247096370166,20.60008543658916,0.7210720729064807,0.0557239784206636,0.7651735730255284,0.06135262204814751,0.7598423296496918,0.03846549891264143,0.736323089670965,0.04691262508607511,0.6265611375750003,0.043161340284056014,0.6265611375750003,0.043161340284056014,3.6089722028276667,0.24046348079572952,11.290149871626483,5.176396574991269,7.977864953338199,2.2892118630522647,14.653328260997823,4.14861037652748,12.456702941171889,3.1259940313471857,15.556513497381696,5.527822621279502,16.85994719987147,5.579286544574305,61.93455952451609,16.56368364390326,0.7210720729064807,0.0557239784206636,0.7651735730255284,0.06135262204814751,0.7598423296496918,0.03846549891264143,0.736323089670965,0.04691262508607511,0.6265611375750003,0.043161340284056014,0.6265611375750003,0.043161340284056014,3.6089722028276667,0.24046348079572952,1.6666666666666667,0.9428090415820634,10.666666666666666,1.247219128924647,6.866666666666667,0.6182412330330471,8.666666666666666,2.8674417556808756,5.666666666666667,3.39934634239519,3.6666666666666665,2.494438257849294,9.0,2.449489742783178,7.333333333333333,3.8586123009300755,3.0,1.0
