method,statement,error_message,seed,param_api_delay,param_beta,param_log_level,param_max_tokens,param_n,param_num_candidates,param_num_retries,param_num_rounds,param_seed,param_temperature,issue,config_file,evaluation_status,generation_time_s
best_of_n,"We support a more comprehensive benefits system funded by increasing taxes,  prioritizing higher earners and corporations.",,42,0.5,1.0,INFO,150.0,1.0,,,,42,1.0,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,5.188086986541748
best_of_n,"Increasing taxes, particularly on higher earners and corporations, is a justifiable way to fund a more comprehensive and equitable benefits system.",,42,0.5,1.0,INFO,150.0,3.0,,,,42,1.0,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,14.61239504814148
habermas_machine,"We believe the benefits system requires improvement. 
Increased taxes, particularly on high earners and corporations, can fund this essential change.",,42,,,,,,1.0,2.0,1.0,42,,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,1.8527259826660156
best_of_n,"We should increase taxes, particularly on corporations and high earners, to fund a more comprehensive and equitable benefits system.",,42,0.5,1.0,INFO,150.0,5.0,,,,42,1.0,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,25.350100994110107
best_of_n,"Increasing taxes, particularly on higher earners and corporations, is a necessary step to fund a more comprehensive and equitable benefits system.",,42,0.5,1.0,INFO,150.0,10.0,,,,42,1.0,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,50.07286882400513
habermas_machine,"To build a more secure and just society, we urge increased taxes on higher earners and corporations to fund a comprehensive benefits system that provides vital support to all, especially the most vulnerable.  Raising benefit rates is crucial to ensure everyone can thrive. 
</sep>",,42,,,,,,3.0,2.0,1.0,42,,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,51.98263502120972
habermas_machine,"This jury agrees that increasing taxes, particularly on higher earners and corporations, is necessary to fund a more comprehensive and equitable benefits system.",,42,,,,,,5.0,2.0,1.0,42,,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,52.56112194061279
best_of_n,"Increasing taxes, particularly on higher earners and corporations, is a necessary step to fund a more comprehensive and equitable benefits system.",,42,0.5,1.0,INFO,150.0,20.0,,,,42,1.0,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,100.92595624923706
habermas_machine,"We propose a comprehensive overhaul of the benefits system, funded by increased taxes,  especially on higher earners and corporations. This will ensure vulnerable populations receive adequate support and address inconsistencies in current benefits rates.",,42,,,,,,10.0,2.0,1.0,42,,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,72.89324808120728
habermas_machine,"We believe a strengthened benefits system, including increased benefit rates, is essential. Funding this fairly through progressive taxation, including higher contributions from the wealthiest individuals and corporations, will create a more equitable society.",,42,,,,,,20.0,2.0,1.0,42,,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,92.53581404685974
habermas_machine,"We propose a comprehensive overhaul of the benefits system, funded by increased taxes on higher earners and corporations, with across-the-board rate increases for existing benefits to ensure a more equitable and supportive safety net.",,42,,,,,,50.0,2.0,1.0,42,,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,155.2564079761505
best_of_n,"Increasing taxes, particularly on higher earners and corporations, is necessary to fund a more comprehensive and equitable benefits system.",,42,0.5,1.0,INFO,150.0,50.0,,,,42,1.0,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,242.74420881271362
best_of_n,"We support a more comprehensive benefits system, funded by increased taxes, particularly on higher earners and corporations.",,43,0.5,1.0,INFO,150.0,1.0,,,,43,1.0,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,5.0467729568481445
best_of_n,"Increasing taxes, particularly on higher earners and corporations, is a justifiable way to fund a more comprehensive and equitable benefits system.",,43,0.5,1.0,INFO,150.0,3.0,,,,43,1.0,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,14.484492063522339
habermas_machine,"We agree that increasing taxes, particularly on higher earners, is necessary to create a more comprehensive and equitable benefits system that supports vulnerable individuals and families.",,43,,,,,,1.0,2.0,1.0,43,,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,1.8359038829803467
best_of_n,"We should increase taxes, particularly on corporations and high earners, to fund a more comprehensive and equitable benefits system.",,43,0.5,1.0,INFO,150.0,5.0,,,,43,1.0,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,24.634437084197998
best_of_n,"Increasing taxes, particularly on higher earners and corporations, is a necessary step to fund a more comprehensive and equitable benefits system.",,43,0.5,1.0,INFO,150.0,10.0,,,,43,1.0,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,48.566864013671875
habermas_machine,"We support increasing taxes, especially on higher earners and corporations, to create a more comprehensive benefits system that effectively supports vulnerable citizens like carers and addresses existing gaps in support.",,43,,,,,,3.0,2.0,1.0,43,,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,49.560375928878784
habermas_machine,"We propose increasing taxes, particularly on higher earners and corporations, to fund a more comprehensive and equitable benefits system. This overhaul should include increasing benefit rates across the board to ensure a fairer and more effective support system for those who need it most.",,43,,,,,,5.0,2.0,1.0,43,,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,55.75270986557007
best_of_n,"Increasing taxes, particularly on higher earners and corporations, is necessary to fund a more comprehensive and equitable benefits system.",,43,0.5,1.0,INFO,150.0,20.0,,,,43,1.0,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,99.52009439468384
habermas_machine,"We believe increasing taxes on higher earners and corporations is crucial to fund a more comprehensive and equitable benefits system, addressing existing inadequacies to create a system that better supports all.",,43,,,,,,10.0,2.0,1.0,43,,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,66.76494264602661
habermas_machine,"We believe a more comprehensive benefits system will create a fairer and more secure society for all. This requires responsible tax increases, primarily on higher earners and corporations, while ensuring that those with the lowest incomes are not unfairly burdened.",,43,,,,,,20.0,2.0,1.0,43,,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,82.31834578514099
habermas_machine,"We agree that a more comprehensive benefits system is needed and support increasing taxes, particularly on higher earners and corporations, to fund these improvements.",,43,,,,,,50.0,2.0,1.0,43,,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,148.76706504821777
best_of_n,"Increasing taxes, particularly on higher earners and corporations, is necessary to fund a more comprehensive and equitable benefits system.",,43,0.5,1.0,INFO,150.0,50.0,,,,43,1.0,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,245.8939220905304
best_of_n,"Increasing taxes, particularly on higher earners and corporations, is a justifiable way to fund a more comprehensive and equitable benefits system.",,44,0.5,1.0,INFO,150.0,1.0,,,,44,1.0,Should we increase taxes to fund a more comprehensive benefits system?,results/neurips/neurips_gemma_scenario2_habermas_vs_bon_20250512_182333/config.yaml,pending,4.715381860733032
